fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0152,Advertising,5000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,48779
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,129501
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,1000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",16197
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,145600
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,29929
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,64969
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,12310
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,31277
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,2506
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,5423
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,1273
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,27844
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0446,For the Purchase of IT and Data Communication Hardware,88477
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,97060
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,For Services Provided by the Department of Fleet and Facilities Management,2000
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1213850
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,46761
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,251
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1268
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,43980
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,7307
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1295
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,1632
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",3179
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,19200
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,3900
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,8103
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,1124
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,692
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,386
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,820
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,288
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,3865
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1215
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,753923
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,29883
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,142
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1269
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,27715
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,5813
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,601
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,54
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",1384
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,11200
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,2373
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,3277
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,883
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,428
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,386
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,326
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,173
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,1225
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1725
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,220356
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,2156
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,58
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,847
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,6538
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,13883
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,3876
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,254
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",643
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,4800
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,1071
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,1552
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,416
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,170
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,257
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,135
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,16
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,512
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1156891
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,11337
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,198
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,2116
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,16346
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,33846
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,10187
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1109
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,65
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",3092
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,19200
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,3295
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,5983
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,1592
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,745
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,642
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,632
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,160
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,2065
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,3759517
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,87935
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0039,For the Employment of Students as Trainees,37500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0130,Postage,1500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,24500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0152,Advertising,1000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0157,Rental of Equipment and Services,8000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0166,"Dues, Subscriptions and Memberships",2000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0169,Technical Meeting Costs,1000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0229,Transportation and Expense Allowance,9500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0270,Local Transportation,500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0348,Books and Related Material,200
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0350,Stationery and Office Supplies,5400
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,262750
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,14567
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1000
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,302500
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,8783
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1500
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0005,Salaries and Wages - on Payroll,1600849
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0015,Schedule Salary Adjustments,38245
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,For Professional Services for Information Technology Maintenance,4641709
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1453850
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,For Software Maintenance and Licensing,14321643
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,Repair/Maintenance of Equipment,1919995
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,"Dues, Subscriptions and Memberships",540542
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0169,Technical Meeting Costs,61672
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,Mobile Communication Services,1380668
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,860906
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,Telephone - Non-Centrex Billings,109397
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,1864730
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,Data Circuits,1010516
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,200843
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0340,Material and Supplies,10000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0348,Books and Related Material,5000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0350,Stationery and Office Supplies,15000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0005,Salaries and Wages - on Payroll,11462481
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0015,Schedule Salary Adjustments,1512
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,For Professional Services for Information Technology Maintenance,1674961
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0139,For Professional Services for Information Technology Development,618000
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,5805732
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,For Software Maintenance and Licensing,647542
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,Repair/Maintenance of Equipment,106561
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,"Dues, Subscriptions and Memberships",1874
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,Mobile Communication Services,174288
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,262255
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,Telephone - Non-Centrex Billings,19966
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,201447
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,Data Circuits,506330
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,30925
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,For Professional Services for Information Technology Maintenance,85228
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,30713
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,For Software Maintenance and Licensing,272359
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,Repair/Maintenance of Equipment,68760
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,"Dues, Subscriptions and Memberships",1209
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,Mobile Communication Services,289209
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,88065
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,Telephone - Non-Centrex Billings,2096
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,96052
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,Data Circuits,48148
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,7712
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,For Professional Services for Information Technology Maintenance,41719
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,15033
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,For Software Maintenance and Licensing,133311
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,Repair/Maintenance of Equipment,33656
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,"Dues, Subscriptions and Memberships",592
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,34123
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,31602
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,Data Circuits,17791
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,Mobile Communication Services,4344
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,6362
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,Telephone - Non-Centrex Billings,65539
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,249000
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,13801
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,Mobile Communication Services,9694
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,3470
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,Telephone - Non-Centrex Billings,37037
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,45200
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,3963
LOCAL,0610,Chicago Midway Airport Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,88488
LOCAL,0610,Chicago Midway Airport Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,4073
LOCAL,0740,Chicago O'Hare Airport Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,Vehicle Tracking Service,352796
LOCAL,0740,Chicago O'Hare Airport Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,Telephone - Centrex Billings,9147
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,For Professional Services for Information Technology Maintenance,7795
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,2809
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,For Software Maintenance and Licensing,24915
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,Repair/Maintenance of Equipment,6289
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,"Dues, Subscriptions and Memberships",111
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,Data Circuits,3325
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0005,Salaries and Wages - on Payroll,7742238
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0017,Wage Allowance for Aldermanic Ward Staff (up to Four Full-Time Salaried Employees Per Alderman),15000000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0039,For the Employment of Students as Trainees,276500
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0126,Office Conveniences,1000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0157,Rental of Equipment and Services,27000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0165,Graphic Design Services,1500
