fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,129501
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,1000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",20618
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,192864
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,22777
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,82440
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,26496
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,23510
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,2533
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,3001
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,1500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,19629
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0446,For the Purchase of IT and Data Communication Hardware,88477
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,97060
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,For Services Provided by the Department of Fleet and Facilities Management,2000
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1284308
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,25395
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,222
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1240
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,44232
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,9456
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1295
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,1632
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",4044
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,25433
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,2968
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,10283
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,2420
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,520
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,391
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,638
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,393
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,2725
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1215
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,807013
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,19811
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,126
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1241
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,27806
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,7519
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,601
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,54
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",1761
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,14836
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,1807
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,4162
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,1900
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,320
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,391
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,253
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,235
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,863
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1725
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,221300
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,9322
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,51
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,827
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,6538
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,14006
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,5015
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,254
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",820
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,6358
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,816
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,1969
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,895
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,130
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,259
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,105
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,22
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,360
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1206720
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,22204
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,175
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,2035
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,16346
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,34016
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,13181
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1109
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,65
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",3941
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,25433
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,2508
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,7589
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,3425
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,560
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,649
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,491
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,218
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,1457
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,3888086
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,78712
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0130,Postage,200
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,24500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0152,Advertising,500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0157,Rental of Equipment and Services,8000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0166,"Dues, Subscriptions and Memberships",1728
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0245,Reimbursement to Travelers,9400
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0270,Local Transportation,600
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0348,Books and Related Material,200
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0350,Stationery and Office Supplies,5400
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,287694
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,9534
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1000
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,291500
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,5542
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1500
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0005,Salaries and Wages - on Payroll,9939828
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0015,Schedule Salary Adjustments,206062
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0091,Uniform Allowance,10000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,5864901
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,777846
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,15889227
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,2956203
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,"Dues, Subscriptions and Memberships",1001856
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0169,Technical Meeting Costs,71700
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,1755320
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,1322051
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0189,Telephone - Non-Centrex Billings,205403
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,1949219
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0196,Data Circuits,1410419
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,225773
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0340,Material and Supplies,10000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0350,Stationery and Office Supplies,15000
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,2571403
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0139,For Professional Services for Information Technology Development,618000
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,5768046
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,882393
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,187419
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,"Dues, Subscriptions and Memberships",2907
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,111284
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,83816
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0189,Telephone - Non-Centrex Billings,13022
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,123577
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0196,Data Circuits,89418
LOCAL,0100,Corporate Fund,15,City Council,2324,24th Ward Council Office,0000,Personnel Services,309000
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,14314
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,132382
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,6603
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,402467
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,109766
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,"Dues, Subscriptions and Memberships",1703
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,65176
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,49088
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0189,Telephone - Non-Centrex Billings,7627
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,72375
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0196,Data Circuits,52369
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,8383
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,70829
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,3533
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,226270
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,58729
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,"Dues, Subscriptions and Memberships",911
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,26264
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,38724
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0196,Data Circuits,28020
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,60133
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,46740
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0189,Telephone - Non-Centrex Billings,7262
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,68913
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,7982
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,5971
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,4641
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0189,Telephone - Non-Centrex Billings,721
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,6843
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,793
LOCAL,0610,Chicago Midway Airport Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,27848
LOCAL,0610,Chicago Midway Airport Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,41058
LOCAL,0740,Chicago O'Hare Airport Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0188,Vehicle Tracking Service,136016
LOCAL,0740,Chicago O'Hare Airport Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,200541
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,14873
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,742
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,44783
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,12333
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,"Dues, Subscriptions and Memberships",191
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0196,Data Circuits,5884
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0005,Salaries and Wages - on Payroll,6943254
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0039,For the Employment of Students as Trainees,276500
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0126,Office Conveniences,1000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0157,Rental of Equipment and Services,27000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0165,Graphic Design Services,1500
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0340,Material and Supplies,7000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0700,Contingencies,5000
