fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0B21,Tax Increment Financing Administration Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,124909
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,806222
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,9102,Special Programs Costs,2445540
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,929B,Restoration Committee,300000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,8441376
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,139418
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,Overtime,1000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,1635
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,For Professional Services for Information Technology Maintenance,20000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,239348
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,42500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,904226
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,1557
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0152,Advertising,3000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,63125
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,43292
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",20618
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,14546
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,32777
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,72440
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,8674
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,18470
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,2428
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,132
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,7900
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0446,For the Purchase of IT and Data Communication Hardware,88477
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,97060
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,For Services Provided by the Department of Fleet and Facilities Management,2000
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1345978
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,20930
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,222
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1240
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,44232
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,9456
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1295
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,381
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",4044
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,25433
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,2968
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,10283
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,2420
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,520
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,784
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,2725
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1215
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,769228
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,22351
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,126
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1241
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,27806
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,7519
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,601
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,54
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",1761
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,14836
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,1807
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,4162
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,1900
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,320
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,391
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,235
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,863
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1725
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,236815
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,9067
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,51
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,827
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,6538
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,14006
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,5015
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,254
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",820
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,6358
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,816
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,1969
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,895
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,130
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,386
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,360
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1255328
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,27513
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,175
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,2035
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,16346
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,34016
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,13181
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1109
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,65
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",3941
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,25433
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,2508
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,7589
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,3425
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,560
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,649
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,218
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,1457
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,4093073
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,67103
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0130,Postage,200
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,7502
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0152,Advertising,500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0157,Rental of Equipment and Services,8000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0166,"Dues, Subscriptions and Memberships",1678
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0270,Local Transportation,600
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0348,Books and Related Material,200
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0350,Stationery and Office Supplies,5400
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,312651
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,7245
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,398848
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,18702
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0005,Salaries and Wages - on Payroll,14042829
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0015,Schedule Salary Adjustments,215474
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0091,Uniform Allowance,24217
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,10168836
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,173206
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,14942252
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,3176241
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,"Dues, Subscriptions and Memberships",643268
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0169,Technical Meeting Costs,63304
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,1530389
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,7361983
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0340,Material and Supplies,24348
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0350,Stationery and Office Supplies,21717
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,2026935
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,4393583
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,1089474
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,273669
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,97024
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,466738
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,392404
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,6431
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,513548
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,150796
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,56824
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,260277
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,231234
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,3441
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,302616
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,88859
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,146254
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,52427
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,25844
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,Mobile Communication Services,5206
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,155075
LOCAL,0610,Chicago Midway Airport Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,757420
LOCAL,0740,Chicago O'Hare Airport Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0190,Telephone - Centrex Billings,273352
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,For Professional Services for Information Technology Maintenance,37066
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,723
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,For Software Maintenance and Licensing,48512
LOCAL,0B21,Tax Increment Financing Administration Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,Repair/Maintenance of Equipment,14244
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0005,Salaries and Wages - on Payroll,7213307
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0039,For the Employment of Students as Trainees,290500
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0126,Office Conveniences,1000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0157,Rental of Equipment and Services,27000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0165,Graphic Design Services,1500
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0340,Material and Supplies,7000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0700,Contingencies,5000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0982,For Expense in Connection with Recognition and Awards to Citizens of Chicago for Acts of Heroism. To Be Expended on Order of the City Council,1000
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,9072,Contingent and Other Expenses for Corporate Purposes Not Otherwise Provided For. To Be Expended Under the Direction of the President Pro Tempore ...,4000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0000,Personnel Services,871219
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0130,Postage,3000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,61520
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0143,Court Reporting,60000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0157,Rental of Equipment and Services,65000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0166,"Dues, Subscriptions and Memberships",3000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0169,Technical Meeting Costs,1500
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0229,Transportation and Expense Allowance,4000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0340,Material and Supplies,3500
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0348,Books and Related Material,3000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0350,Stationery and Office Supplies,35000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0700,Contingencies,2000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,9005,For the Payment of Legal Fees Pursuant to Sec. 2-152-170 of the Municipal Code. To Be Expended at the direction of the Committee on Finance,50000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,9006,For Legal Assistance to the City Council. To Be Expended at the Direction of the Chairman of the Committee on Finance,50000
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,9010,For Legal  Technical  Medical and Professional Services  Appraisals  Consultants  Printers  Court Reporters  and Other Incidental Contractual Services...,35500
LOCAL,0100,Corporate Fund,15,City Council,2012,Council Office of Financial Analysis,0005,Salaries and Wages - on Payroll,474489
LOCAL,0100,Corporate Fund,15,City Council,2012,Council Office of Financial Analysis,0100,Contractual Services,30000
LOCAL,0100,Corporate Fund,15,City Council,2012,Council Office of Financial Analysis,0700,Contingencies,32644
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0000,Personnel Services,401925
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0100,Contractual Services,15000
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0300,Commodities and Materials,12000
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0400,Equipment,9500
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0700,Contingencies,15000
LOCAL,0100,Corporate Fund,15,City Council,2216,Committee on Contracting  Oversight  and Equity,0000,Personnel Services,224533
LOCAL,0100,Corporate Fund,15,City Council,2216,Committee on Contracting  Oversight  and Equity,0100,Contractual Services,1500
LOCAL,0100,Corporate Fund,15,City Council,2225,Committee on License and Consumer Protection,0000,Personnel Services,180402
LOCAL,0100,Corporate Fund,15,City Council,2225,Committee on License and Consumer Protection,0100,Contractual Services,36000
LOCAL,0100,Corporate Fund,15,City Council,2225,Committee on License and Consumer Protection,0300,Commodities and Materials,1500
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0000,Personnel Services,249710
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0100,Contractual Services,1000
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0300,Commodities and Materials,1000
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0700,Contingencies,500
LOCAL,0100,Corporate Fund,15,City Council,2236,Committee on Police and Fire,0000,Personnel Services,286022
LOCAL,0100,Corporate Fund,15,City Council,2236,Committee on Police and Fire,0100,Contractual Services,1000
LOCAL,0100,Corporate Fund,15,City Council,2236,Committee on Police and Fire,0300,Commodities and Materials,1000
LOCAL,0100,Corporate Fund,15,City Council,2236,Committee on Police and Fire,0700,Contingencies,500
LOCAL,0100,Corporate Fund,15,City Council,2245,Committee on Committees and Rules,0000,Personnel Services,151528
LOCAL,0100,Corporate Fund,15,City Council,2245,Committee on Committees and Rules,0100,Contractual Services,20000
LOCAL,0100,Corporate Fund,15,City Council,2245,Committee on Committees and Rules,0300,Commodities and Materials,500
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0000,Personnel Services,454986
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0100,Contractual Services,1000
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0300,Commodities and Materials,500
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0700,Contingencies,1000
LOCAL,0100,Corporate Fund,15,City Council,2257,Committee on Environmental Protection and Energy,0000,Personnel Services,242502
LOCAL,0100,Corporate Fund,15,City Council,2257,Committee on Environmental Protection and Energy,0300,Commodities and Materials,800
LOCAL,0100,Corporate Fund,15,City Council,2258,Committee on Ethics and Government Oversight,0000,Personnel Services,214134
